content_id,genre_id
1,28
2,23
2,1
2,22
3,13
3,23
3,18
4,4
4,20
5,23
5,19
5,6
6,1
6,24
6,22
7,5
8,15
8,11
8,38
9,9
9,20
10,17
10,15
11,13
11,4
11,23
12,13
12,23
12,18
13,15
13,38
14,5
14,17
15,9
15,13
15,4
16,6
16,1
17,28
17,38
18,13
18,42
18,1
19,39
20,23
20,42
20,18
21,13
21,4
21,23
22,23
22,18
22,1
23,17
23,38
24,5
25,17
25,38
25,36
26,4
26,23
26,20
27,17
27,38
27,27
28,17
29,29
29,41
30,39
31,15
31,11
31,38
32,6
33,9
33,23
33,6
34,23
34,1
34,34
35,25
36,15
36,38
36,39
37,14
37,15
37,38
38,25
38,6
39,14
39,15
40,25
41,25
41,30
42,14
42,40
42,15
43,15
43,29
43,39
44,14
44,29
44,39
45,14
45,29
45,39
46,28
47,14
48,23
48,19
48,6
49,15
49,39
50,23
50,1
51,23
51,1
51,30
52,14
52,35
52,38
53,14
53,35
53,38
54,14
54,35
54,38
55,14
55,35
55,38
56,20
57,14
57,35
57,38
58,14
58,35
58,38
59,14
59,35
59,38
60,14
60,35
60,38
61,14
61,35
61,38
62,14
62,35
62,38
63,14
63,35
63,38
64,14
64,35
64,38
65,5
66,25
67,4
67,23
68,25
68,6
69,28
69,38
69,26
70,23
70,1
71,23
71,20
71,19
72,5
73,9
73,4
73,23
74,15
74,38
75,20
76,5
77,12
77,23
78,5
78,17
79,17
79,15
79,38
80,17
80,15
80,38
81,5
82,14
83,13
83,6
83,1
84,20
85,14
85,17
85,15
86,12
86,25
87,38
87,39
88,25
88,21
89,28
89,26
90,25
91,41
91,39
92,28
92,38
93,23
93,1
93,22
94,15
94,38
94,36
95,5
95,17
96,20
97,28
97,27
98,25
98,6
98,30
99,9
99,25
100,6
100,1
101,25
102,28
102,26
103,4
103,7
104,15
104,38
104,39
105,25
105,21
106,14
106,17
106,15
107,25
107,6
108,5
108,15
109,25
109,1
109,2
110,13
110,23
110,42
111,4
111,23
111,42
112,25
113,15
114,17
114,36
115,15
115,38
115,39
116,15
116,36
117,17
117,15
117,11
118,28
119,15
119,38
119,39
120,15
120,38
120,36
121,25
121,6
122,23
122,19
122,6
123,39
124,25
125,25
125,21
126,13
126,18
126,6
127,15
127,38
127,36
128,5
128,17
129,15
129,38
129,39
130,15
131,5
131,27
132,14
132,40
132,32
133,23
133,18
133,6
134,14
134,41
135,14
135,15
136,14
137,15
137,36
138,14
138,17
139,15
139,36
140,40
140,17
140,15
141,15
141,38
141,39
142,14
143,15
144,14
144,41
145,17
145,32
146,17
146,32
146,27
147,17
147,27
148,20
149,8
150,14
150,17
151,39
152,14
152,38
153,17
154,25
155,12
155,23
155,2
156,14
156,5
156,32
157,17
157,15
157,36
158,41
158,39
159,17
159,36
160,17
160,15
160,38
161,6
162,17
162,32
162,41
163,15
164,17
164,36
165,14
165,17
166,13
166,23
166,42
167,40
167,15
168,5
168,17
169,14
169,5
169,17
170,14
170,15
171,28
171,27
172,15
172,37
173,17
173,27
174,28
174,3
175,14
175,15
176,15
176,36
177,14
177,17
178,14
178,40
179,14
179,17
180,17
180,36
181,17
181,36
182,4
183,17
184,14
184,40
185,20
186,28
186,26
187,23
187,19
187,6
188,23
188,6
189,17
